photo_id,obj_id,obj_class,file_name,background,location,light,bll
0,batom_0,batom,IMG_1774.jpg,w,i,d,wid
1,batom_0,batom,IMG_1775.jpg,w,i,d,wid
2,batom_0,batom,IMG_1776.jpg,w,i,d,wid
3,batom_1,batom,IMG_1777.jpg,w,i,d,wid
4,batom_1,batom,IMG_1778.jpg,w,i,d,wid
5,batom_1,batom,IMG_1779.jpg,w,i,d,wid
6,batom_2,batom,IMG_1780.jpg,w,i,d,wid
7,batom_2,batom,IMG_1781.jpg,w,i,d,wid
8,batom_2,batom,IMG_1782.jpg,w,i,d,wid
9,batom_3,batom,IMG_1786.jpg,w,i,d,wid
10,batom_3,batom,IMG_1787.jpg,w,i,d,wid
11,batom_3,batom,IMG_1788.jpg,w,i,d,wid
12,batom_4,batom,IMG_1789.jpg,w,i,d,wid
13,batom_4,batom,IMG_1790.jpg,w,i,d,wid
14,batom_4,batom,IMG_1791.jpg,w,i,d,wid
15,batom_5,batom,IMG_1792.jpg,w,i,d,wid
16,batom_5,batom,IMG_1793.jpg,w,i,d,wid
17,batom_5,batom,IMG_1794.jpg,w,i,d,wid
18,batom_0,batom,IMG_1795.jpg,w,o,d,wod
19,batom_0,batom,IMG_1796.jpg,w,o,d,wod
20,batom_0,batom,IMG_1797.jpg,w,o,d,wod
21,batom_1,batom,IMG_1798.jpg,w,o,d,wod
22,batom_1,batom,IMG_1799.jpg,w,o,d,wod
23,batom_1,batom,IMG_1800.jpg,w,o,d,wod
24,batom_2,batom,IMG_1801.jpg,w,o,d,wod
25,batom_2,batom,IMG_1802.jpg,w,o,d,wod
26,batom_2,batom,IMG_1803.jpg,w,o,d,wod
27,batom_3,batom,IMG_1804.jpg,w,o,d,wod
28,batom_3,batom,IMG_1805.jpg,w,o,d,wod
29,batom_3,batom,IMG_1806.jpg,w,o,d,wod
30,batom_4,batom,IMG_1807.jpg,w,o,d,wod
31,batom_4,batom,IMG_1808.jpg,w,o,d,wod
32,batom_4,batom,IMG_1809.jpg,w,o,d,wod
33,batom_5,batom,IMG_1810.jpg,w,o,d,wod
34,batom_5,batom,IMG_1811.jpg,w,o,d,wod
35,batom_5,batom,IMG_1812.jpg,w,o,d,wod
36,batom_0,batom,IMG_1814.jpg,g,o,d,god
37,batom_0,batom,IMG_1815.jpg,g,o,d,god
38,batom_0,batom,IMG_1816.jpg,g,o,d,god
39,batom_1,batom,IMG_1817.jpg,g,o,d,god
40,batom_1,batom,IMG_1818.jpg,g,o,d,god
41,batom_1,batom,IMG_1819.jpg,g,o,d,god
42,batom_2,batom,IMG_1820.jpg,g,o,d,god
43,batom_2,batom,IMG_1821.jpg,g,o,d,god
44,batom_2,batom,IMG_1822.jpg,g,o,d,god
45,batom_3,batom,IMG_1823.jpg,g,o,d,god
46,batom_3,batom,IMG_1824.jpg,g,o,d,god
47,batom_3,batom,IMG_1825.jpg,g,o,d,god
48,batom_4,batom,IMG_1826.jpg,g,o,d,god
49,batom_4,batom,IMG_1827.jpg,g,o,d,god
50,batom_4,batom,IMG_1828.jpg,g,o,d,god
51,batom_5,batom,IMG_1829.jpg,g,o,d,god
52,batom_5,batom,IMG_1830.jpg,g,o,d,god
53,batom_5,batom,IMG_1831.jpg,g,o,d,god
54,batom_0,batom,IMG_1834.jpg,g,i,d,gid
55,batom_0,batom,IMG_1835.jpg,g,i,d,gid
56,batom_0,batom,IMG_1836.jpg,g,i,d,gid
57,batom_1,batom,IMG_1837.jpg,g,i,d,gid
58,batom_1,batom,IMG_1838.jpg,g,i,d,gid
59,batom_1,batom,IMG_1839.jpg,g,i,d,gid
